rule_name,description,benchmark,gpt_answer,gpt_configuration,tag,gpt_Js_each_rule_map
5.3.8 Enums,"Enumerations are defined by adding the `@enum` annotation to an object literal. Additional properties may not be added to an enum after it is defined. Enums must be constant, and all enum values must be deeply immutable.
/**
 * Supported temperature scales.
 * @enum {string}
 */
const TemperatureScale = {
  CELSIUS: 'celsius',
  FAHRENHEIT: 'fahrenheit',
};

/**
 * An enum with two options.
 * @enum {number}
 */
const Option = {
  /** The option used shall have been the first. */
  FIRST_OPTION: 1,
  /** The second among two options. */
  SECOND_OPTION: 2,
};","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.4.1 Constructors,Constructors are optional. Subclass constructors must call `super()` before setting any fields or otherwise accessing `this` . Interfaces should declare non-method properties in the constructor.,"[{'no-this-before-super': 'error'}, {'no-this-before-super': 'error'}]",Yes,"{'constructor-super': ['error'], 'no-this-before-super': ['error']}",valid config part,"None

RuleName: no-this-before-super;
Set Values for related option values:
None;

None"
5.4.2 Fields,"Set all of a concrete object¡¯s fields (i.e. all properties other than methods) in the constructor. Annotate fields that are never reassigned with `@const` (these need not be deeply immutable). Annotate non-public fields with the proper visibility annotation ( `@private` , `@protected` , `@package` ), and end all `@private` fields' names with an underscore. Fields are never set on a concrete class' `prototype` .
Example:
class Foo {
  constructor() {
    /** @private @const {!Bar} */
    this.bar_ = computeBar();

    /** @protected @const {!Baz} */
    this.baz = computeBaz();
  }
}

Tip: Properties should never be added to or removed from an instance after the constructor is finished, since it significantly hinders VMs¡¯ ability to optimize. If necessary, fields that are initialized later should be explicitly set to `undefined` in the constructor to prevent later shape changes. Adding `@struct` to an object will check that undeclared properties are not added/accessed. Classes have this added by default.","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"None

RuleName: prefer-const;

RuleName: no-underscore-dangle;
Option Rule: allow, [""privateField""];
Set Values for related option values:
allow: [""privateField""];"
5.4.3 Computed properties,"Computed properties may only be used in classes when the property is a symbol. Dict-style properties (that is, quoted or computed non-symbol keys, as defined in ?? ) are not allowed. A `[Symbol.iterator]` method should be defined for any classes that are logically iterable. Beyond this, `Symbol` should be used sparingly.
Tip: be careful of using any other built-in symbols (e.g., `Symbol.isConcatSpreadable` ) as they are not polyfilled by the compiler and will therefore not work in older browsers.","[{}, {'dot-notation': ['error']}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.4.4 Static methods,"Where it does not interfere with readability, prefer module-local functions over private static methods.
Static methods should only be called on the base class itself. Static methods should not be called on variables containing a dynamic instance that may be either the constructor or a subclass constructor (and must be defined with `@nocollapse` if this is done), and must not be called directly on a subclass that doesn¡¯t define the method itself.
Disallowed:
class Base { /** @nocollapse */ static foo() {} }
class Sub extends Base {}
function callFoo(cls) { cls.foo(); }  // discouraged: don't call static methods dynamically
Sub.foo();  // Disallowed: don't call static methods on subclasses that don't define it themselves
","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.4.5 Old-style class declarations,"While ES6 classes are preferred, there are cases where ES6 classes may not be feasible. For example:
If there exist or will exist subclasses, including frameworks that create subclasses, that cannot be immediately changed to use ES6 class syntax. If such a class were to use ES6 syntax, all downstream subclasses not using ES6 class syntax would need to be modified. 
Frameworks that require a known `this` value before calling the superclass constructor, since constructors with ES6 super classes do not have access to the instance `this` value until the call to `super` returns.
In all other ways the style guide still applies to this code: `let` , `const` , default parameters, rest, and arrow functions should all be used when appropriate.
`goog.defineClass` allows for a class-like definition similar to ES6 class syntax:
let C = goog.defineClass(S, {
  /**
   * @param {string} value
   */
  constructor(value) {
    S.call(this, 2);
    /** @const */
    this.prop = value;
  },

  /**
   * @param {string} param
   * @return {number}
   */
  method(param) {
    return 0;
  },
});

Alternatively, while `goog.defineClass` should be preferred for all new code, more traditional syntax is also allowed.
/**
  * @constructor @extends {S}
  * @param {string} value
  */
function C(value) {
  S.call(this, 2);
  /** @const */
  this.prop = value;
}
goog.inherits(C, S);

/**
 * @param {string} param
 * @return {number}
 */
C.prototype.method = function(param) {
  return 0;
};

Per-instance properties should be defined in the constructor after the call to the super class constructor, if there is a super class. Methods should be defined on the prototype of the constructor.
Defining constructor prototype hierarchies correctly is harder than it first appears! For that reason, it is best to use `goog.inherits` from the Closure Library .","[{'no-this-before-super': 'error'}, {'no-this-before-super': 'error'}]",Yes,"{'prefer-const': ['error', {'destructuring': 'any', 'ignoreReadBeforeAssign': False}], 'default-param-last': ['error'], 'prefer-rest-params': ['error'], 'prefer-arrow-callback': ['error', {'allowNamedFunctions': False, 'allowUnboundThis': False}]}",valid config part,None
5.4.6 Do not manipulate prototype s directly,"The `class` keyword allows clearer and more readable class definitions than defining `prototype` properties. Ordinary implementation code has no business manipulating these objects, though they are still useful for defining classes as defined in ?? . Mixins and modifying the prototypes of builtin objects are explicitly forbidden.
Exception : Framework code (such as Polymer, or Angular) may need to use `prototype` s, and should not resort to even-worse workarounds to avoid doing so.","[{'no-extend-native': ['error', {'exceptions': ['OurSetDefault']}]}, {'no-extend-native': ['error', {'exceptions': ['OurSetDefault']}]}]",Yes,"{'no-extend-native': ['error', {'exceptions': []}]}",valid config part,"RuleName: no-extend-native;
Option Rule: exceptions, [""FrameworkCode""];
Set Values for related option values:
exceptions, [""FrameworkCode""];

RuleName: no-extend-native;
Set Values for related option values:
None"
5.4.7 Getters and Setters,"Do not use JavaScript getter and setter properties . They are potentially surprising and difficult to reason about, and have limited support in the compiler. Provide ordinary methods instead.
Exception : there are situations where defining a getter or setter is unavoidable (e.g. data binding frameworks such as Angular and Polymer, or for compatibility with external APIs that cannot be adjusted). In these cases only, getters and setters may be used with caution , provided they are defined with the `get` and `set` shorthand method keywords or `Object.defineProperties` (not `Object.defineProperty` , which interferes with property renaming). Getters must not change observable state.
Disallowed:
class Foo {
  get next() { return this.nextId++; }
}
","[{}, {}]",Yes,"{'no-restricted-properties': ['error', {'object': 'Object', 'property': 'defineProperty', 'message': 'Use alternative methods'}]}",valid config part,"None

None

None

None

RuleName: prefer-reflect;
Set Values for related option values:
None;

None"
5.4.8 Overriding toString,"The `toString` method may be overridden, but must always succeed and never have visible side effects.
Tip: Beware, in particular, of calling other methods from toString, since exceptional conditions could lead to infinite loops.","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.4.9 Interfaces,"Interfaces may be declared with `@interface` or `@record` . Interfaces declared with `@record` can be explicitly (i.e. via `@implements` ) or implicitly implemented by a class or object literal.
All non-static method bodies on an interface must be empty blocks. Fields must be declared as uninitialized members in the class constructor.
Example:
/**
 * Something that can frobnicate.
 * @record
 */
class Frobnicator {
  constructor() {
    /** @type {number} The number of attempts before giving up. */
    this.attempts;
  }

  /**
   * Performs the frobnication according to the given strategy.
   * @param {!FrobnicationStrategy} strategy
   */
  frobnicate(strategy) {}
}

","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"None

None

RuleName: no-empty-function;
Set Values for related option values:
allow, [];

None"
5.4.10 Abstract Classes,"Use abstract classes when appropriate. Abstract classes and methods must be annotated with `@abstract` . Do not use `goog.abstractMethod` . See abstract
classes and methods .","[{'no-restricted-syntax': ['error', {'selector': ""CallExpression[callee.object.name='goog'][callee.property.name='abstractMethod']"", 'message': 'OurSetDefault'}]}, {'no-restricted-syntax': ['error', {'selector': ""CallExpression[callee.object.name='goog'][callee.property.name='abstractMethod']"", 'message': 'OurSetDefault'}]}]",Yes,"{'no-restricted-properties': ['error', {'object': 'goog', 'property': 'abstractMethod'}]}",valid config part,"None

RuleName: no-restricted-syntax;
Set Values for related option values:
first option, ""goog.abstractMethod"";"
5.5.1 Top-level functions,"Top-level functions may be defined directly on the `exports` object, or else declared locally and optionally exported. See ?? for more on exports.
Examples:
/** @param {string} str */
exports.processString = (str) => {
  // Process the string.
};

/** @param {string} str */
const processString = (str) => {
  // Process the string.
};

exports = {processString};
","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.5.2 Nested functions and closures,"Functions may contain nested function definitions. If it is useful to give the function a name, it should be assigned to a local `const` .","[{}, {}]",Yes,{},valid config part,None
5.5.3 Arrow functions,"Arrow functions provide a concise function syntax and simplify scoping `this` for nested functions. Prefer arrow functions over the `function` keyword, particularly for nested functions (but see ?? ).
Prefer arrow functions over other `this` scoping approaches such as `f.bind(this)` , `goog.bind(f,this)` , and `constself=this` . Arrow functions are particularly useful for calling into callbacks as they permit explicitly specifying which parameters to pass to the callback whereas binding will blindly pass along all parameters.
The left-hand side of the arrow contains zero or more parameters. Parentheses around the parameters are optional if there is only a single non-destructured parameter. When parentheses are used, inline parameter types may be specified (see ?? ).
Tip: Always using parentheses even for single-parameter arrow functions can avoid situations where adding parameters, but forgetting to add parentheses, may result in parseable code which no longer works as intended.
The right-hand side of the arrow contains the body of the function. By default the body is a block statement (zero or more statements surrounded by curly braces). The body may also be an implicitly returned single expression if either: the program logic requires returning a value, or the `void` operator precedes a single function or method call (using `void` ensures `undefined` is returned, prevents leaking values, and communicates intent). The single expression form is preferred if it improves readability (e.g., for short or simple expressions).
Examples:
/**
 * Arrow functions can be documented just like normal functions.
 * @param {number} numParam A number to add.
 * @param {string} strParam Another number to add that happens to be a string.
 * @return {number} The sum of the two parameters.
 */
const moduleLocalFunc = (numParam, strParam) => numParam + Number(strParam);

// Uses the single expression syntax with `void` because the program logic does
// not require returning a value.
getValue((result) => void alert(`Got ${result}`));

class CallbackExample {
  constructor() {
    /** @private {number} */
    this.cachedValue_ = 0;

    // For inline callbacks, you can use inline typing for parameters.
    // Uses a block statement because the value of the single expression should
    // not be returned and the expression is not a single function call.
    getNullableValue((/** ?number */ result) => {
      this.cachedValue_ = result == null ? 0 : result;
    });
  }
}

Disallowed:
/**
 * A function with no params and no returned value.
 * This single expression body usage is illegal because the program logic does
 * not require returning a value and we're missing the `void` operator.
 */
const moduleLocalFunc = () => anotherFunction();","[{'arrow-parens': ['error', 'always']}, {'arrow-parens': ['error', 'always']}]",Yes,"{'arrow-body-style': ['error', 'always']}",valid config part,"RuleName: prefer-arrow-callback;
Option Rule: allowNamedFunctions, false;
Set Values for related option values:
allowNamedFunctions, false;

RuleName: prefer-arrow-callback;
Option Rule: allowUnboundThis, false;
Set Values for related option values:
allowUnboundThis, false;

None

RuleName: arrow-parens;
Option Rule: as-needed;
Set Values for related option values:
as-needed;

None

None

RuleName: arrow-body-style;
Option Rule: always;
Set Values for related option values:
always;

RuleName: arrow-body-style;
Option Rule: as-needed;
Set Values for related option values:
as-needed;

RuleName: arrow-body-style;
Option Rule: as-needed;
Set Values for related option values:
as-needed;"
5.5.4 Generators,"Generators enable a number of useful abstractions and may be used as needed.
When defining generator functions, attach the `*` to the `function` keyword when present, and separate it with a space from the name of the function. When using delegating yields, attach the `*` to the `yield` keyword.
Example:
/** @return {!Iterator<number>} */
function* gen1() {
  yield 42;
}

/** @return {!Iterator<number>} */
const gen2 = function*() {
  yield* gen1();
}

class SomeClass {
  /** @return {!Iterator<number>} */
  * gen() {
    yield 42;
  }
}","[{'generator-star-spacing': ['error', 'after'], 'yield-star-spacing': ['error', 'after']}, {'generator-star-spacing': ['error', {'before': False, 'after': True}], 'yield-star-spacing': ['error', {'before': False, 'after': 'OurSetDefault'}]}]",Yes,"{'generator-star-spacing': ['error', {'before': True, 'named': {'before': False, 'after': True}}]}",valid config part,"None

RuleName: yield-star-spacing;
Option Rule: before, true;
Set Values for related option values:
before, true;"
5.5.5 Parameter and return types,Function parameters and return types should usually be documented with JSDoc annotations. See ?? for more information.,"[{'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True}}], 'valid-jsdoc': ['error', {'requireReturn': True, 'requireReturnType': True}]}, {'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': 'OurSetDefault', 'ArrowFunctionExpression': 'OurSetDefault', 'FunctionExpression': 'OurSetDefault'}}], 'valid-jsdoc': ['error', {'requireReturn': True, 'requireReturnType': True, 'requireParamDescription': 'OurSetDefault', 'requireReturnDescription': 'OurSetDefault'}]}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.5.5.1 Default parameters,"Optional parameters are permitted using the equals operator in the parameter list. Optional parameters must include spaces on both sides of the equals operator, be named exactly like required parameters (i.e., not prefixed with `opt_` ), use the `=` suffix in their JSDoc type, come after required parameters, and not use initializers that produce observable side effects. All optional parameters for concrete functions must have default values, even if that value is `undefined` . In contrast to concrete functions, abstract and interface methods must omit default parameter values.
Example:
/**
 * @param {string} required This parameter is always needed.
 * @param {string=} optional This parameter can be omitted.
 * @param {!Node=} node Another optional parameter.
 */
function maybeDoSomething(required, optional = '', node = undefined) {}

/** @interface */
class MyInterface {
  /**
   * Interface and abstract methods must omit default parameter values.
   * @param {string=} optional
   */
  someMethod(optional) {}
}

Use default parameters sparingly. Prefer destructuring (as in ?? ) to create readable APIs when there are more than a small handful of optional parameters that do not have a natural order.
Note: Unlike Python's default parameters, it is okay to use initializers that return new mutable objects (such as `{}` or `[]` ) because the initializer is evaluated each time the default value is used, so a single object won't be shared across invocations.
Tip: While arbitrary expressions including function calls may be used as initializers, these should be kept as simple as possible. Avoid initializers that expose shared mutable state, as that can easily introduce unintended coupling between function calls.","[{'default-param-last': 'error'}, {'default-param-last': 'error'}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"None

RuleName: space-infix-ops;
Set Values for related option values:
spaces, true;

None

RuleName: valid-jsdoc;
Option Rule: preferType, object;
Set Values for related option values:
""Boolean"", ""boolean"";
""Number"", ""number"";
""object"", ""Object"";
""String"", ""string"";

RuleName: default-param-last;
Set Values for related option values:
default parameters, last;

None

None

None"
5.5.5.2 Rest parameters,"Use a rest parameter instead of accessing `arguments` . Rest parameters are typed with a `...` prefix in their JSDoc. The rest parameter must be the last parameter in the list. There is no space between the `...` and the parameter name. Do not name the rest parameter `var_args` . Never name a local variable or parameter `arguments` , which confusingly shadows the built-in name.
Example:
/**
 * @param {!Array<string>} array This is an ordinary parameter.
 * @param {...number} numbers The remainder of arguments are all numbers.
 */
function variadic(array, ...numbers) {}
","[{'prefer-rest-params': 'error', 'rest-spread-spacing': ['error', 'never'], 'id-denylist': ['error', 'var_args', 'arguments']}, {'prefer-rest-params': 'error', 'rest-spread-spacing': ['error', 'never'], 'id-denylist': ['error', 'var_args', 'arguments']}]",Yes,{'prefer-rest-params': ['error']},valid config part,"RuleName: prefer-rest-params;
Set Values for related option values: None;

None

None

RuleName: rest-spread-spacing;
Option Rule: rest-spread-spacing, never;
Set Values for related option values:
rest-spread-spacing, never;

RuleName: id-denylist;
Set Values for related option values:
id-denylist, ['var_args'];

RuleName: id-denylist;
Set Values for related option values:
id-denylist, ['arguments'];"
5.5.6 Generics,Declare generic functions and methods when necessary with `@templateTYPE` in the JSDoc above the function or method definition.,"[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.5.7 Spread operator,"Function calls may use the spread operator ( `...` ). Prefer the spread operator to `Function.prototype.apply` when an array or iterable is unpacked into multiple parameters of a variadic function. There is no space after the `...` .
Example:
function myFunction(...elements) {}
myFunction(...array, ...iterable, ...generator());
","[{'rest-spread-spacing': ['error', 'never']}, {'rest-spread-spacing': ['error', 'never']}]",Yes,"{'rest-spread-spacing': ['error', 'never']}",valid config part,"None

None

RuleName: rest-spread-spacing;
Option Rule: rest-spread-spacing, never;
Set Values for related option values:
rest-spread-spacing, never;"
5.6.1 Use single quotes,"Ordinary string literals are delimited with single quotes ( `'` ), rather than double quotes ( `""` ).
Tip: if a string contains a single quote character, consider using a template string to avoid having to escape the quote.
Ordinary string literals may not span multiple lines.","[{'quotes': ['error', 'single', {'avoidEscape': 'OurSetDefault', 'allowTemplateLiterals': True}], 'no-multi-str': 'error'}, {'quotes': ['error', 'single', {'avoidEscape': 'OurSetDefault', 'allowTemplateLiterals': True}], 'no-multi-str': 'error'}]",Yes,"{'quotes': ['error', 'single'], 'no-multi-str': ['error']}",valid config part,"RuleName: quotes;
Set Values for related option values:
quotes: single;

RuleName: no-multi-str;
Set Values for related option values:
No [Multiline String];"
5.6.2 Template literals,"Use template literals (delimited with ``` ) over complex string concatenation, particularly if multiple string literals are involved. Template literals may span multiple lines.
If a template literal spans multiple lines, it does not need to follow the indentation of the enclosing block, though it may if the added whitespace does not matter.
Example:
function arithmetic(a, b) {
  return `Here is a table of arithmetic operations:
${a} + ${b} = ${a + b}
${a} - ${b} = ${a - b}
${a} * ${b} = ${a * b}
${a} / ${b} = ${a / b}`;
}
","[{'prefer-template': 'error', 'indent': ['error', 2, {'ignoredNodes': ['TemplateLiteral']}]}, {'prefer-template': 'error', 'indent': ['error', 2, {'ignoredNodes': ['TemplateLiteral']}]}]",Yes,{'prefer-template': ['error']},valid config part,"RuleName: prefer-template;
Set Values for related option values:
None;

None

None"
5.6.3 No line continuations,"Do not use line continuations (that is, ending a line inside a string literal with a backslash) in either ordinary or template string literals. Even though ES5 allows this, it can lead to tricky errors if any trailing whitespace comes after the slash, and is less obvious to readers.
Disallowed:
const longString = 'This is a very long string that far exceeds the 80 \
    column limit. It unfortunately contains long stretches of spaces due \
    to how the continued lines are indented.';

Instead, write
const longString = 'This is a very long string that far exceeds the 80 ' +
    'column limit. It does not contain long stretches of spaces since ' +
    'the concatenated strings are cleaner.';","[{'no-multi-str': 'error'}, {'no-multi-str': 'error'}]",Yes,{'no-multi-str': ['error']},valid config part,"RuleName: no-multi-str;
Set Values for related option values:
error;"
5.7 Number literals,"Numbers may be specified in decimal, hex, octal, or binary. Use exactly `0x` , `0o` , and `0b` prefixes, with lowercase letters, for hex, octal, and binary, respectively. Never include a leading zero unless it is immediately followed by `x` , `o` , or `b` .","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.8.1 For loops,"With ES6, the language now has three different kinds of `for` loops. All may be used, though `for` - `of` loops should be preferred when possible.
`for` - `in` loops may only be used on dict-style objects (see ?? ), and should not be used to iterate over an array. `Object.prototype.hasOwnProperty` should be used in `for` - `in` loops to exclude unwanted prototype properties. Prefer `for` - `of` and `Object.keys` over `for` - `in` when possible.","[{'guard-for-in': 'error', 'no-restricted-syntax': ['error', {'selector': 'ForInStatement[right.type=""ArrayExpression""]', 'message': 'OurSetDefault'}]}, {'guard-for-in': 'error', 'no-restricted-syntax': ['error', {'selector': 'ForInStatement[right.type=""ArrayExpression""]', 'message': 'OurSetDefault'}]}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"None

RuleName: no-restricted-syntax;
Set Values for related option values:
""no-restricted-syntax"": [
  {
    ""selector"": ""ForInStatement"",
    ""message"": ""for-in loops are not allowed for arrays""
  }
];

None

RuleName: guard-for-in;
Set Values for related option values:
""guard-for-in"": ""error"";

None"
5.8.2 Exceptions,"Exceptions are an important part of the language and should be used whenever exceptional cases occur. Always throw `Error` s or subclasses of `Error` : never throw string literals or other objects. Always use `new` when constructing an `Error` .
This treatment extends to `Promise` rejection values as `Promise.reject(obj)` is equivalent to `throwobj;` in async functions.
Custom exceptions provide a great way to convey additional error information from functions. They should be defined and used wherever the native `Error` type is insufficient.
Prefer throwing exceptions over ad-hoc error-handling approaches (such as passing an error container reference type, or returning an object with an error property).","[{'no-throw-literal': 'error', 'prefer-promise-reject-errors': 'error'}, {'no-throw-literal': 'error', 'prefer-promise-reject-errors': ['error', {'allowEmptyReject': False}]}]",Yes,{'no-throw-literal': ['error']},valid config part,"```plaintext
RuleName: no-throw-literal;
Set Values for related option values:
None;

None

None

None
```"
5.8.2.1 Empty catch blocks,"It is very rarely correct to do nothing in response to a caught exception. When it truly is appropriate to take no action whatsoever in a catch block, the reason this is justified is explained in a comment.
try {
  return handleNumericResponse(response);
} catch (ok) {
  // it's not numeric; that's fine, just continue
}
return handleTextResponse(response);

Disallowed:
  try {
    shouldFail();
    fail('expected an error');
  } catch (expected) {
  }

Tip: Unlike in some other languages, patterns like the above simply don¡¯t work since this will catch the error thrown by `fail` . Use `assertThrows()` instead.","[{'no-empty': ['error', {'allowEmptyCatch': 'OurSetDefault'}]}, {'no-empty': ['error', {'allowEmptyCatch': 'OurSetDefault'}]}]",Yes,{},valid config part,"```plaintext
RuleName: no-empty;
Set Values for related option values:
allowEmptyCatch: false;

RuleName: no-empty;
Set Values for related option values:
allowEmptyCatch: false;
```"
5.8.3.1 Fall-through: commented,"Within a switch block, each statement group either terminates abruptly (with a `break` , `return` or `throw` n exception), or is marked with a comment to indicate that execution will or might continue into the next statement group. Any comment that communicates the idea of fall-through is sufficient (typically `//fallthrough` ). This special comment is not required in the last statement group of the switch block.
Example:
switch (input) {
  case 1:
  case 2:
    prepareOneOrTwo();
  // fall through
  case 3:
    handleOneTwoOrThree();
    break;
  default:
    handleLargeNumber(input);
}","[{'no-fallthrough': ['error', {'commentPattern': 'OurSetDefault'}]}, {'no-fallthrough': ['error', {'commentPattern': 'OurSetDefault'}]}]",Yes,"{'no-fallthrough': ['error', {'commentPattern': 'falls?\\s?through'}]}",valid config part,"```plaintext
RuleName: no-fallthrough;
Set Values for related option values:
commentPattern: /falls?\s?through/i;

RuleName: no-fallthrough;
Option Rule: commentPattern, .*
Set Values for related option values:
commentPattern: .*
```"
5.8.3.2 The default case is present,"Each switch statement includes a `default` statement group, even if it contains no code. The `default` statement group must be last.","[{'default-case': 'error', 'default-case-last': 'error'}, {'default-case': 'error', 'default-case-last': 'error'}]",Yes,"{'default-case': ['error'], 'default-case-last': ['error']}",valid config part,"```plaintext
RuleName: default-case;
Set Values for related option values:
None;

RuleName: default-case-last;
Set Values for related option values:
None;
```"
5.9 this,"Only use `this` in class constructors and methods, in arrow functions defined within class constructors and methods, or in functions that have an explicit `@this` declared in the immediately-enclosing function¡¯s JSDoc.
Never use `this` to refer to the global object, the context of an `eval` , the target of an event, or unnecessarily `call()` ed or `apply()` ed functions.","[{}, {}]",Yes,"{'no-invalid-this': ['error', {'capIsConstructor': True}]}",valid config part,"None

RuleName: no-invalid-this;
Set Values for related option values:
capIsConstructor, false;

RuleName: no-extra-bind;
Set Values for related option values:
None;"
5.10 Equality Checks,Use identity operators ( `===` / `!==` ) except in the cases documented below.,"[{'eqeqeq': ['error', 'always', {'null': 'OurSetDefault'}]}, {'eqeqeq': ['error', 'always', {'null': 'OurSetDefault'}]}]",Yes,"{'eqeqeq': ['error', 'always'], 'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': True, 'FunctionExpression': True}}]}",valid config part,"RuleName: eqeqeq;
Set Values for related option values:
null, ignore;"
5.10.1 Exceptions Where Coercion is Desirable,"Catching both `null` and `undefined` values:
if (someObjectOrPrimitive == null) {
  // Checking for null catches both null and undefined for objects and
  // primitives, but does not catch other falsy values like 0 or the empty
  // string.
}","[{'eqeqeq': ['error', 'always', {'null': 'ignore'}]}, {'eqeqeq': ['error', 'always', {'null': 'ignore'}]}]",Yes,"{'eqeqeq': ['error', 'always', {'null': 'ignore'}]}",valid config part,"```plaintext
RuleName: eqeqeq;
Option Rule: null, ignore;
Set Values for related option values:
null, ignore;
```"
5.11.1 with,Do not use the `with` keyword. It makes your code harder to understand and has been banned in strict mode since ES5.,"[{'no-with': 'error'}, {'no-with': 'error'}]",Yes,{'no-with': ['error']},valid config part,"RuleName: no-with;
Set Values for related option values:
None;"
5.11.2 Dynamic code evaluation,Do not use `eval` or the `Function(...string)` constructor (except for code loaders). These features are potentially dangerous and simply do not work in CSP environments.,"[{'no-eval': 'error', 'no-new-func': 'error'}, {'no-eval': ['error', {'allowIndirect': False}], 'no-new-func': 'error'}]",Yes,"{'no-eval': ['error', {'allowIndirect': False}], 'no-new-func': ['error']}",valid config part,"```plaintext
RuleName: no-eval;
Option Rule: allowIndirect, false;
Set Values for related option values:
allowIndirect, false;

RuleName: no-new-func;
Set Values for related option values:
None;
```"
5.11.3 Automatic semicolon insertion,"Always terminate statements with semicolons (except function and class declarations, as noted above).","[{}, {}]",Yes,"{'semi': ['error', 'always']}",valid config part,None
5.11.4 Non-standard features,"Do not use non-standard features. This includes old features that have been removed (e.g., `WeakMap.clear` ), new features that are not yet standardized (e.g., the current TC39 working draft, proposals at any stage, or proposed but not-yet-complete web standards), or proprietary features that are only implemented in some browsers. Use only features defined in the current ECMA-262 or WHATWG standards. (Note that projects writing against specific APIs, such as Chrome extensions or Node.js, can obviously use those APIs). Non-standard language ¡°extensions¡± (such as those provided by some external transpilers) are forbidden.","[{'no-restricted-syntax': ['error', 'OurSetDefault']}, {'no-restricted-syntax': ['error', 'OurSetDefault']}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"```plaintext
RuleName: no-restricted-syntax;
Set Values for related option values:
No [AST selector]: specify the AST selectors for non-standard features;

RuleName: no-restricted-syntax;
Set Values for related option values:
No [AST selector]: specify the AST selectors for old features;

RuleName: no-restricted-syntax;
Set Values for related option values:
No [AST selector]: specify the AST selectors for new features not standardized;

RuleName: no-restricted-syntax;
Set Values for related option values:
No [AST selector]: specify the AST selectors for proprietary features;

None

RuleName: no-restricted-syntax;
Set Values for related option values:
No [AST selector]: specify the AST selectors for non-standard language extensions;
```"
5.11.5 Wrapper objects for primitive types,"Never use `new` on the primitive object wrappers ( `Boolean` , `Number` , `String` , `Symbol` ), nor include them in type annotations.
Disallowed:
const /** Boolean */ x = new Boolean(false);
if (x) alert(typeof x);  // alerts 'object' - WAT?

The wrappers may be called as functions for coercing (which is preferred over using `+` or concatenating the empty string) or creating symbols.
Example:
const /** boolean */ x = Boolean(0);
if (!x) alert(typeof x);  // alerts 'boolean', as expected","[{'no-new-wrappers': 'error'}, {'no-new-wrappers': 'error'}]",Yes,{'no-new-wrappers': ['error']},valid config part,None
5.11.6 Modifying builtin objects,"Never modify builtin types, either by adding methods to their constructors or to their prototypes. Avoid depending on libraries that do this. Note that the JSCompiler¡¯s runtime library will provide standards-compliant polyfills where possible; nothing else may modify builtin objects.
Do not add symbols to the global object unless absolutely necessary (e.g. required by a third-party API).","[{'no-extend-native': ['error', {'exceptions': ['ThirdPartyAPI']}], 'no-native-reassign': 'error'}, {'no-extend-native': ['error', {'exceptions': ['ThirdPartyAPI']}], 'no-global-assign': 'error'}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.11.7 Omitting () when invoking a constructor,"Never invoke a constructor in a `new` statement without using parentheses `()` .
Disallowed:
new Foo;

Use instead:
new Foo();

Omitting parentheses can lead to subtle mistakes. These two lines are not equivalent:
new Foo().Bar();
new Foo.Bar();
","[{'new-parens': 'error'}, {'new-parens': ['error', 'always']}]",Yes,{'new-parens': ['error']},valid config part,"```plaintext
RuleName: new-parens;
Option Rule: enforce, always;
Set Values for related option values:
enforce: always;
```"
