rule_name,description,benchmark,gpt_answer,gpt_configuration,tag
5.5.2 Nested functions and closures,"Functions may contain nested function definitions. If it is useful to give the function a name, it should be assigned to a local `const` .",,Yes,"{'no-inner-declarations': ['functions'], 'func-names': ['always']}",valid config part
5.5.3 Arrow functions,"Arrow functions provide a concise function syntax and simplify scoping `this` for nested functions. Prefer arrow functions over the `function` keyword, particularly for nested functions (but see ?? ).
 Prefer arrow functions over other `this` scoping approaches such as `f.bind(this)` , `goog.bind(f,this)` , and `constself=this` . Arrow functions are particularly useful for calling into callbacks as they permit explicitly specifying which parameters to pass to the callback whereas binding will blindly pass along all parameters.
 The left-hand side of the arrow contains zero or more parameters. Parentheses around the parameters are optional if there is only a single non-destructured parameter. When parentheses are used, inline parameter types may be specified (see ?? ).
 Tip: Always using parentheses even for single-parameter arrow functions can avoid situations where adding parameters, but forgetting to add parentheses, may result in parseable code which no longer works as intended.
 The right-hand side of the arrow contains the body of the function. By default the body is a block statement (zero or more statements surrounded by curly braces). The body may also be an implicitly returned single expression if either: the program logic requires returning a value, or the `void` operator precedes a single function or method call (using `void` ensures `undefined` is returned, prevents leaking values, and communicates intent). The single expression form is preferred if it improves readability (e.g., for short or simple expressions).
 Examples:
 /**
  * Arrow functions can be documented just like normal functions.
  * @param {number} numParam A number to add.
  * @param {string} strParam Another number to add that happens to be a string.
  * @return {number} The sum of the two parameters.
  */
 const moduleLocalFunc = (numParam, strParam) => numParam + Number(strParam);
 
 // Uses the single expression syntax with `void` because the program logic does
 // not require returning a value.
 getValue((result) => void alert(`Got ${result}`));
 
 class CallbackExample {
  constructor() {
  /** @private {number} */
  this.cachedValue_ = 0;
 
  // For inline callbacks, you can use inline typing for parameters.
  // Uses a block statement because the value of the single expression should
  // not be returned and the expression is not a single function call.
  getNullableValue((/** ?number */ result) => {
  this.cachedValue_ = result == null ? 0 : result;
  });
  }
 }
 
 Disallowed:
 /**
  * A function with no params and no returned value.
  * This single expression body usage is illegal because the program logic does
  * not require returning a value and we're missing the `void` operator.
  */
 const moduleLocalFunc = () => anotherFunction();","{'arrow-parens': ['error', 'always']}",Yes,"{'prefer-arrow-callback': ['error'], 'no-confusing-arrow': ['error', {'allowParens': True}], 'no-extra-bind': ['error'], 'arrow-parens': ['error', 'always'], 'arrow-body-style': ['error', 'as-needed'], 'no-invalid-this': ['error'], 'no-void': ['error'], 'func-style': ['error', 'expression'], 'object-shorthand': ['error', 'always'], 'no-param-reassign': ['error', {'props': True}], 'no-new-func': ['error']}",valid config part
5.5.4 Generators,"Generators enable a number of useful abstractions and may be used as needed.
 When defining generator functions, attach the `*` to the `function` keyword when present, and separate it with a space from the name of the function. When using delegating yields, attach the `*` to the `yield` keyword.
 Example:
 /** @return {!Iterator<number>} */
 function* gen1() {
  yield 42;
 }
 
 /** @return {!Iterator<number>} */
 const gen2 = function*() {
  yield* gen1();
 }
 
 class SomeClass {
  /** @return {!Iterator<number>} */
  * gen() {
  yield 42;
  }
 }","{'generator-star-spacing': ['error', {'before': False, 'after': True}], 'yield-star-spacing': ['error', 'after']}",Yes,"{'require-yield': 'error', 'generator-star-spacing': ['error', {'before': True, 'after': False}], 'yield-star-spacing': ['error', {'before': False, 'after': True}]}",valid config part
5.5.5 Parameter and return types,Function parameters and return types should usually be documented with JSDoc annotations. See ?? for more information.,"{'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]}",Yes,"{'consistent-return': ['error', {'treatUndefinedAsUnspecified': False}], 'valid-jsdoc': ['error', {'prefer': {}, 'preferType': {}, 'requireReturn': True, 'requireReturnType': False, 'matchDescription': '', 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': False}], 'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]}",valid config part
5.5.5.1 Default parameters,"Optional parameters are permitted using the equals operator in the parameter list. Optional parameters must include spaces on both sides of the equals operator, be named exactly like required parameters (i.e., not prefixed with `opt_` ), use the `=` suffix in their JSDoc type, come after required parameters, and not use initializers that produce observable side effects. All optional parameters for concrete functions must have default values, even if that value is `undefined` . In contrast to concrete functions, abstract and interface methods must omit default parameter values.
 Example:
 /**
  * @param {string} required This parameter is always needed.
  * @param {string=} optional This parameter can be omitted.
  * @param {!Node=} node Another optional parameter.
  */
 function maybeDoSomething(required, optional = '', node = undefined) {}
 
 /** @interface */
 class MyInterface {
  /**
  * Interface and abstract methods must omit default parameter values.
  * @param {string=} optional
  */
  someMethod(optional) {}
 }
 
 Use default parameters sparingly. Prefer destructuring (as in ?? ) to create readable APIs when there are more than a small handful of optional parameters that do not have a natural order.
 Note: Unlike Python's default parameters, it is okay to use initializers that return new mutable objects (such as `{}` or `[]` ) because the initializer is evaluated each time the default value is used, so a single object won't be shared across invocations.
 Tip: While arbitrary expressions including function calls may be used as initializers, these should be kept as simple as possible. Avoid initializers that expose shared mutable state, as that can easily introduce unintended coupling between function calls.","{'space-infix-ops': 'error', 'default-param-last': 'error'}",Yes,"{'default-param-last': 'error', 'no-param-reassign': ['error', {'props': True}], 'consistent-return': ['error', {'treatUndefinedAsUnspecified': False}], 'no-void': ['error', {'allowAsStatement': False}], 'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}], 'max-params': ['error', {'max': 3}], 'no-undefined': 'error', 'operator-assignment': ['error', 'always'], 'no-unsafe-optional-chaining': ['error', {'disallowArithmeticOperators': False}], 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'new-parens': ['error', 'always'], 'prefer-rest-params': 'error', 'init-declarations': ['error', 'always'], 'no-undef': ['error', {'typeof': False}], 'prefer-destructuring': ['error', {'VariableDeclarator': {'array': False, 'object': True}, 'AssignmentExpression': {'array': True, 'object': True}}, {'enforceForRenamedProperties': False}], 'no-undef-init': 'error', 'valid-jsdoc': ['error', {'prefer': {}, 'preferType': {}, 'requireReturn': True, 'requireReturnType': False, 'matchDescription': '', 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': False}], 'eqeqeq': ['error', 'always'], 'no-implicit-globals': ['error', {'lexicalBindings': False}], 'arrow-parens': ['error', 'always']}",valid config part
5.5.5.2 Rest parameters,"Use a rest parameter instead of accessing `arguments` . Rest parameters are typed with a `...` prefix in their JSDoc. The rest parameter must be the last parameter in the list. There is no space between the `...` and the parameter name. Do not name the rest parameter `var_args` . Never name a local variable or parameter `arguments` , which confusingly shadows the built-in name.
 Example:
 /**
  * @param {!Array<string>} array This is an ordinary parameter.
  * @param {...number} numbers The remainder of arguments are all numbers.
  */
 function variadic(array, ...numbers) {}","{'rest-spread-spacing': ['error', 'never']}",Yes,"{'prefer-rest-params': 'error', 'no-param-reassign': ['error', {'props': True}], 'no-shadow-restricted-names': 'error', 'no-caller': 'error'}",valid config part
5.5.6 Generics,Declare generic functions and methods when necessary with `@templateTYPE` in the JSDoc above the function or method definition.,,Yes,"{'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True}}], 'valid-jsdoc': ['error', {'requireReturn': True, 'requireReturnType': True, 'requireParamDescription': True, 'requireReturnDescription': True}]}",valid config part
5.5.7 Spread operator,"Function calls may use the spread operator ( `...` ). Prefer the spread operator to `Function.prototype.apply` when an array or iterable is unpacked into multiple parameters of a variadic function. There is no space after the `...` .
 Example:
 function myFunction(...elements) {}
 myFunction(...array, ...iterable, ...generator());","{'rest-spread-spacing': ['error', 'never']}",Yes,"{'prefer-spread': 'error', 'no-useless-call': 'error', 'rest-spread-spacing': ['error', 'never'], 'func-call-spacing': ['error', 'never'], 'prefer-rest-params': 'error'}",valid config part
5.6 String literals,5.6 String literals,,Yes,"{'no-template-curly-in-string': 'error', 'prefer-template': 'error', 'no-nonoctal-decimal-escape': 'error', 'no-octal-escape': 'error', 'quotes': ['error', 'double', {'avoidEscape': True, 'allowTemplateLiterals': True}], 'no-multi-str': 'error', 'no-useless-concat': 'error'}",exist config in str
5.6.1 Use single quotes,"Ordinary string literals are delimited with single quotes ( `'` ), rather than double quotes ( `""` ).
 Tip: if a string contains a single quote character, consider using a template string to avoid having to escape the quote.
 Ordinary string literals may not span multiple lines.","{'quotes': ['error', 'single']}",Yes,"{'quotes': ['error', 'single', {'avoidEscape': True, 'allowTemplateLiterals': True}], 'no-multi-str': 'error'}",valid config part
5.6.2 Template literals,"Use template literals (delimited with ``` ) over complex string concatenation, particularly if multiple string literals are involved. Template literals may span multiple lines.
 If a template literal spans multiple lines, it does not need to follow the indentation of the enclosing block, though it may if the added whitespace does not matter.
 Example:
 function arithmetic(a, b) {
  return `Here is a table of arithmetic operations:
 ${a} + ${b} = ${a + b}
 ${a} - ${b} = ${a - b}
 ${a} * ${b} = ${a * b}
 ${a} / ${b} = ${a / b}`;
 }",,Yes,"{'prefer-template': 'error', 'no-template-curly-in-string': 'error', 'no-useless-concat': 'error'}",valid config part
5.6.3 No line continuations,"Do not use line continuations (that is, ending a line inside a string literal with a backslash) in either ordinary or template string literals. Even though ES5 allows this, it can lead to tricky errors if any trailing whitespace comes after the slash, and is less obvious to readers.
 Disallowed:
 const longString = 'This is a very long string that far exceeds the 80 \
  column limit. It unfortunately contains long stretches of spaces due \
  to how the continued lines are indented.';
 
 Instead, write
 const longString = 'This is a very long string that far exceeds the 80 ' +
  'column limit. It does not contain long stretches of spaces since ' +
  'the concatenated strings are cleaner.';",{'no-multi-str': 'error'},Yes,{'no-multi-str': 'error'},valid config part
5.7 Number literals,"Numbers may be specified in decimal, hex, octal, or binary. Use exactly `0x` , `0o` , and `0b` prefixes, with lowercase letters, for hex, octal, and binary, respectively. Never include a leading zero unless it is immediately followed by `x` , `o` , or `b` .",{'no-octal': 'error'},Yes,"{'no-octal': 'error', 'prefer-numeric-literals': 'error', 'radix': ['error', 'always'], 'no-floating-decimal': 'error', 'no-loss-of-precision': 'error', 'no-nonoctal-decimal-escape': 'error', 'no-octal-escape': 'error'}",valid config part
5.8 Control structures,5.8 Control structures,,Yes,"{'no-continue': 'error', 'no-constant-condition': ['error', {'checkLoops': True}], 'no-var': 'error', 'curly': ['error', 'all'], 'no-unsafe-finally': 'error', 'no-negated-condition': 'error', 'no-dupe-else-if': 'error', 'indent': ['error', 4, {'SwitchCase': 1}], 'block-scoped-var': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'brace-style': ['error', '1tbs', {'allowSingleLine': False}], 'no-implicit-globals': ['error', {'lexicalBindings': False}], 'vars-on-top': 'error', 'no-ternary': 'error', 'no-unreachable-loop': ['error', {'ignore': []}], 'no-cond-assign': ['error', 'except-parens'], 'one-var': ['error', 'always'], 'no-multi-assign': ['error', {'ignoreNonDeclaration': False}], 'no-unreachable': 'error', 'default-case-last': 'error'}",valid config part
5.8.1 For loops,"With ES6, the language now has three different kinds of `for` loops. All may be used, though `for` - `of` loops should be preferred when possible.
 `for` - `in` loops may only be used on dict-style objects (see ?? ), and should not be used to iterate over an array. `Object.prototype.hasOwnProperty` should be used in `for` - `in` loops to exclude unwanted prototype properties. Prefer `for` - `of` and `Object.keys` over `for` - `in` when possible.",,Yes,"{'guard-for-in': 'error', 'no-unreachable-loop': ['error', {'ignore': ['ForStatement', 'ForInStatement', 'ForOfStatement']}], 'for-direction': 'error', 'no-loop-func': 'error', 'no-await-in-loop': 'error', 'prefer-object-has-own': 'error'}",valid config part
5.8.2 Exceptions,"Exceptions are an important part of the language and should be used whenever exceptional cases occur. Always throw `Error` s or subclasses of `Error` : never throw string literals or other objects. Always use `new` when constructing an `Error` .
 This treatment extends to `Promise` rejection values as `Promise.reject(obj)` is equivalent to `throwobj;` in async functions.
 Custom exceptions provide a great way to convey additional error information from functions. They should be defined and used wherever the native `Error` type is insufficient.
 Prefer throwing exceptions over ad-hoc error-handling approaches (such as passing an error container reference type, or returning an object with an error property).",{'no-throw-literal': 'error'},Yes,"{'no-throw-literal': 'error', 'prefer-promise-reject-errors': ['error', {'allowEmptyReject': False}]}",valid config part
5.8.2.1 Empty catch blocks,"It is very rarely correct to do nothing in response to a caught exception. When it truly is appropriate to take no action whatsoever in a catch block, the reason this is justified is explained in a comment.
 try {
  return handleNumericResponse(response);
 } catch (ok) {
  // it's not numeric; that's fine, just continue
 }
 return handleTextResponse(response);
 
 Disallowed:
  try {
  shouldFail();
  fail('expected an error');
  } catch (expected) {
  }
 
 Tip: Unlike in some other languages, patterns like the above simply don’t work since this will catch the error thrown by `fail` . Use `assertThrows()` instead.",,Yes,"{'no-useless-catch': 'error', 'no-empty': ['error', {'allowEmptyCatch': True}]}",valid config part
5.8.3 Switch statements,"Terminology Note: Inside the braces of a switch block are one or more statement groups. Each statement group consists of one or more switch labels (either `caseFOO:` or `default:` ), followed by one or more statements.",,Yes,"{'no-duplicate-case': 'error', 'default-case-last': 'error', 'no-case-declarations': 'error', 'no-fallthrough': 'error'}",valid config part
5.8.3.1 Fall-through: commented,"Within a switch block, each statement group either terminates abruptly (with a `break` , `return` or `throw` n exception), or is marked with a comment to indicate that execution will or might continue into the next statement group. Any comment that communicates the idea of fall-through is sufficient (typically `//fallthrough` ). This special comment is not required in the last statement group of the switch block.
 Example:
 switch (input) {
  case 1:
  case 2:
  prepareOneOrTwo();
  // fall through
  case 3:
  handleOneTwoOrThree();
  break;
  default:
  handleLargeNumber(input);
 }","{'no-fallthrough': ['error', {'commentPattern': 'OurSetDefault'}]}",Yes,"{'no-fallthrough': ['error', {'commentPattern': 'falls?\\s?through'}]}",valid config part
5.8.3.2 The default case is present,"Each switch statement includes a `default` statement group, even if it contains no code. The `default` statement group must be last.","{'default-case': 'error', 'default-case-last': 'error'}",Yes,"{'default-case-last': 'error', 'default-case': ['error', {'commentPattern': '^no default$'}]}",valid config part
5.9 this,"Only use `this` in class constructors and methods, in arrow functions defined within class constructors and methods, or in functions that have an explicit `@this` declared in the immediately-enclosing function’s JSDoc.
 Never use `this` to refer to the global object, the context of an `eval` , the target of an event, or unnecessarily `call()` ed or `apply()` ed functions.",,Yes,"{'no-invalid-this': ['error', {'capIsConstructor': True}], 'consistent-this': ['error', 'that'], 'class-methods-use-this': ['error', {'exceptMethods': [], 'enforceForClassFields': True}], 'no-this-before-super': 'error', 'no-extra-bind': 'error', 'no-eval': ['error', {'allowIndirect': False}], 'no-implicit-globals': ['error', {'lexicalBindings': False}], 'prefer-arrow-callback': ['error', {'allowNamedFunctions': False, 'allowUnboundThis': True}]}",valid config part
5.10 Equality Checks,Use identity operators ( `===` / `!==` ) except in the cases documented below.,"{'eqeqeq': ['error', 'always', {'null': 'ignore'}]}",Yes,"{'eqeqeq': ['always'], 'no-self-compare': 'error', 'no-constant-binary-expression': 'error', 'no-cond-assign': ['error', 'except-parens'], 'no-eq-null': 'error', 'no-unsafe-negation': ['error', {'enforceForOrderingRelations': False}], 'no-self-assign': ['error', {'props': True}], 'no-negated-in-lhs': 'error', 'no-multi-assign': ['error', {'ignoreNonDeclaration': False}], 'yoda': ['error', 'never'], 'logical-assignment-operators': ['error', 'always', {'enforceForIfStatements': False}], 'no-return-assign': ['error', 'except-parens'], 'use-isnan': ['error', {'enforceForSwitchCase': True, 'enforceForIndexOf': False}], 'no-unneeded-ternary': ['error', {'defaultAssignment': True}], 'no-implicit-coercion': ['error', {'boolean': True, 'number': True, 'string': True, 'disallowTemplateShorthand': False, 'allow': []}], 'no-mixed-operators': ['error', {'groups': [['+', '-', '*', '/', '%', '**'], ['&', '|', '^', '~', '<<', '>>', '>>>'], ['==', '!=', '===', '!==', '>', '>=', '<', '<='], ['&&', '||'], ['in', 'instanceof']], 'allowSamePrecedence': True}], 'no-constant-condition': ['error', {'checkLoops': True}], 'no-compare-neg-zero': 'error', 'no-negated-condition': 'error'}",valid config part
5.10.1 Exceptions Where Coercion is Desirable,"Catching both `null` and `undefined` values:
 if (someObjectOrPrimitive == null) {
  // Checking for null catches both null and undefined for objects and
  // primitives, but does not catch other falsy values like 0 or the empty
  // string.
 }","{'eqeqeq': ['error', 'always', {'null': 'ignore'}]}",Yes,"{'no-eq-null': 'error', 'eqeqeq': ['error', {'null': 'ignore'}]}",valid config part
5.11 Disallowed features,5.11 Disallowed features,,Yes,"{'no-restricted-syntax': [{'selector': 'WithStatement', 'message': ""Avoid using 'with' statements.""}, {'selector': 'FunctionDeclaration', 'message': 'Avoid using function declarations.'}], 'no-restricted-exports': [{'restrictedNamedExports': ['default', 'foo'], 'restrictDefaultExports': {'direct': True, 'named': True, 'defaultFrom': True, 'namedFrom': True, 'namespaceFrom': True}}], 'no-script-url': 'error', 'no-delete-var': 'error', 'no-shadow-restricted-names': 'error', 'no-octal': 'error', 'no-caller': 'error', 'no-negated-condition': 'error', 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': '^[a-z]+(_[a-z]+)+$'}], 'no-this-before-super': 'error', 'id-denylist': ['error', 'data', 'err', 'e', 'cb', 'callback'], 'no-restricted-globals': [{'name': 'event', 'message': 'Use local parameter instead.'}, {'name': 'fdescribe', 'message': 'Do not commit fdescribe. Use describe instead.'}], 'no-underscore-dangle': ['error', {'allow': ['_id'], 'allowAfterThis': False, 'allowAfterSuper': False, 'allowAfterThisConstructor': False, 'enforceInMethodNames': False, 'enforceInClassFields': False, 'allowInArrayDestructuring': True, 'allowInObjectDestructuring': True, 'allowFunctionParams': True}], 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-plusplus': ['error', {'allowForLoopAfterthoughts': True}], 'no-console': ['error', {'allow': ['warn', 'error']}], 'no-use-before-define': ['error', {'functions': False, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-bitwise': ['error', {'allow': ['~'], 'int32Hint': True}], 'no-implicit-coercion': ['error', {'boolean': True, 'number': True, 'string': True, 'disallowTemplateShorthand': True, 'allow': ['!!']}]}",valid config part
5.11.1 with,Do not use the `with` keyword. It makes your code harder to understand and has been banned in strict mode since ES5.,{'no-with': 'error'},Yes,{'no-with': 'error'},valid config part
5.11.2 Dynamic code evaluation,Do not use `eval` or the `Function(...string)` constructor (except for code loaders). These features are potentially dangerous and simply do not work in CSP environments.,"{'no-eval': 'error', 'no-new-func': 'error'}",Yes,"{'no-eval': 'error', 'no-implied-eval': 'error', 'no-new-func': 'error'}",valid config part
5.11.3 Automatic semicolon insertion,"Always terminate statements with semicolons (except function and class declarations, as noted above).","{'semi': ['error', 'always']}",Yes,"{'no-extra-semi': 'error', 'semi': ['error', 'always'], 'semi-spacing': ['error', {'before': False, 'after': True}], 'semi-style': ['error', 'last']}",valid config part
5.11.4 Non-standard features,"Do not use non-standard features. This includes old features that have been removed (e.g., `WeakMap.clear` ), new features that are not yet standardized (e.g., the current TC39 working draft, proposals at any stage, or proposed but not-yet-complete web standards), or proprietary features that are only implemented in some browsers. Use only features defined in the current ECMA-262 or WHATWG standards. (Note that projects writing against specific APIs, such as Chrome extensions or Node.js, can obviously use those APIs). Non-standard language “extensions” (such as those provided by some external transpilers) are forbidden.",,Yes,"{'no-extend-native': 'error', 'no-new-native-nonconstructor': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-prototype-builtins': 'error', 'no-shadow-restricted-names': 'error', 'no-obj-calls': 'error', 'no-restricted-syntax': ['error', {'selector': 'WithStatement', 'message': 'With statements are not allowed.'}], 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-global-assign': ['error', {'exceptions': []}], 'no-undefined': 'error', 'no-iterator': 'error', 'no-new': 'error', 'no-useless-constructor': 'error', 'object-shorthand': ['error', {'avoidQuotes': False, 'ignoreConstructors': False, 'methodsIgnorePattern': '', 'avoidExplicitReturnArrows': False}], 'comma-dangle': ['error', {'arrays': 'never', 'objects': 'never', 'imports': 'never', 'exports': 'never', 'functions': 'never'}], 'no-undef': ['error', {'typeof': False}], 'no-nonoctal-decimal-escape': 'error', 'no-var': 'error', 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}]}",valid config part
5.11.5 Wrapper objects for primitive types,"Never use `new` on the primitive object wrappers ( `Boolean` , `Number` , `String` , `Symbol` ), nor include them in type annotations.
 Disallowed:
 const /** Boolean */ x = new Boolean(false);
 if (x) alert(typeof x); // alerts 'object' - WAT?
 
 The wrappers may be called as functions for coercing (which is preferred over using `+` or concatenating the empty string) or creating symbols.
 Example:
 const /** boolean */ x = Boolean(0);
 if (!x) alert(typeof x); // alerts 'boolean', as expected",{'no-new-wrappers': 'error'},Yes,"{'no-new-wrappers': 'error', 'no-new-native-nonconstructor': 'error', 'no-implicit-coercion': ['error', {'boolean': True, 'number': True, 'string': True, 'disallowTemplateShorthand': False, 'allow': []}]}",valid config part
5.11.6 Modifying builtin objects,"Never modify builtin types, either by adding methods to their constructors or to their prototypes. Avoid depending on libraries that do this. Note that the JSCompiler’s runtime library will provide standards-compliant polyfills where possible; nothing else may modify builtin objects.
 Do not add symbols to the global object unless absolutely necessary (e.g. required by a third-party API).",{'no-extend-native': 'error'},Yes,"{'no-prototype-builtins': 'error', 'no-obj-calls': 'error', 'no-new-native-nonconstructor': 'error', 'no-extend-native': 'error', 'no-global-assign': 'error', 'no-redeclare': 'error', 'no-shadow': 'error', 'no-shadow-restricted-names': 'error', 'no-undefined': 'error', 'no-proto': 'error', 'prefer-object-has-own': 'error', 'no-invalid-this': 'error', 'no-new-wrappers': 'error', 'no-undef': 'error', 'no-const-assign': 'error', 'no-use-before-define': 'error', 'no-implicit-coercion': 'error'}",valid config part
5.11.7 Omitting () when invoking a constructor,"Never invoke a constructor in a `new` statement without using parentheses `()` .
 Disallowed:
 new Foo;
 
 Use instead:
 new Foo();
 
 Omitting parentheses can lead to subtle mistakes. These two lines are not equivalent:
 new Foo().Bar();
 new Foo.Bar();",{'new-parens': 'error'},Yes,{'new-parens': 'always'},valid config part
6 Naming,6 Naming,,Yes,"{'object-shorthand': ['error', {'avoidQuotes': False, 'ignoreConstructors': False, 'methodsIgnorePattern': '', 'avoidExplicitReturnArrows': False}], 'consistent-this': ['error', 'that'], 'camelcase': ['error', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False, 'allow': []}], 'new-cap': ['error', {'newIsCap': True, 'capIsNew': True, 'newIsCapExceptions': [], 'newIsCapExceptionPattern': '', 'capIsNewExceptions': [], 'capIsNewExceptionPattern': '', 'properties': True}], 'no-global-assign': ['error', {'exceptions': []}], 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}], 'one-var': ['error', {'var': 'always', 'let': 'always', 'const': 'always', 'separateRequires': False, 'initialized': 'always', 'uninitialized': 'always'}], 'sort-keys': ['error', {'order': 'asc', 'caseSensitive': True, 'natural': False, 'minKeys': 2, 'allowLineSeparatedGroups': False}], 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'comma-style': ['error', 'last', {'exceptions': {'ArrayExpression': False, 'ArrayPattern': False, 'ArrowFunctionExpression': False, 'CallExpression': False, 'FunctionDeclaration': False, 'FunctionExpression': False, 'ImportDeclaration': False, 'ObjectExpression': False, 'ObjectPattern': False, 'VariableDeclaration': False, 'NewExpression': False}}], 'prefer-destructuring': ['error', {'array': True, 'object': True, 'VariableDeclarator': {'array': True, 'object': True}, 'AssignmentExpression': {'array': True, 'object': True}}, {'enforceForRenamedProperties': False}], 'no-implicit-globals': ['error', {'lexicalBindings': False}], 'no-shadow': ['error', {'builtinGlobals': False, 'hoist': 'functions', 'allow': [], 'ignoreOnInitialization': False}], 'callback-return': ['error', ['callback', 'cb', 'next']], 'indent': ['error', 4, {'SwitchCase': 0, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': {'body': 1}, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}], 'prefer-named-capture-group': 'error', 'prefer-reflect': ['error', {'exceptions': [], 'reflectapply': '', 'reflectdefineproperty': '', 'reflectgetownpropertydescriptor': '', 'reflectgetprototypeof': '', 'reflectsetprototypeof': '', 'reflectisextensible': '', 'reflectpreventextensions': '', 'reflectdeleteproperty': ''}], 'comma-spacing': ['error', {'before': False, 'after': True}], 'no-shadow-restricted-names': 'error', 'no-multi-assign': ['error', {'ignoreNonDeclaration': False}]}",valid config part
6.1 Rules common to all identifiers,"Identifiers use only ASCII letters and digits, and, in a small number of cases noted below, underscores and very rarely (when required by frameworks like Angular) dollar signs.
 Give as descriptive a name as possible, within reason. Do not worry about saving horizontal space as it is far more important to make your code immediately understandable by a new reader. Do not use abbreviations that are ambiguous or unfamiliar to readers outside your project, and do not abbreviate by deleting letters within a word.
 errorCount // No abbreviation.
 dnsConnectionIndex // Most people know what ""DNS"" stands for.
 referrerUrl // Ditto for ""URL"".
 customerId // ""Id"" is both ubiquitous and unlikely to be misunderstood.
 
 Disallowed:
 n // Meaningless.
 nErr // Ambiguous abbreviation.
 nCompConns // Ambiguous abbreviation.
 wgcConnections // Only your group knows what this stands for.
 pcReader // Lots of things can be abbreviated ""pc"".
 cstmrId // Deletes internal letters.
 kSecondsPerDay // Do not use Hungarian notation.",,Yes,"{'no-shadow-restricted-names': 'error', 'id-length': ['error', {'min': 2, 'exceptions': ['i', 'j', 'x', 'y', 'z']}], 'id-denylist': ['error', 'n', 'nErr', 'nCompConns', 'wgcConnections', 'pcReader', 'cstmrId', 'kSecondsPerDay'], 'no-underscore-dangle': ['error', {'allow': ['_id'], 'allowAfterThis': False, 'allowAfterSuper': False, 'allowAfterThisConstructor': False, 'enforceInMethodNames': False, 'enforceInClassFields': False, 'allowInArrayDestructuring': True, 'allowInObjectDestructuring': True, 'allowFunctionParams': True}], 'id-match': ['error', '^[a-zA-Z][a-zA-Z0-9]*$', {'properties': True, 'classFields': True, 'onlyDeclarations': False, 'ignoreDestructuring': False}]}",valid config part
6.2 Rules by identifier type,6.2 Rules by identifier type,,Yes,"{'id-denylist': ['error', ['error', 'data', 'err', 'e', 'cb', 'callback']], 'id-length': ['error', {'min': 2, 'max': inf, 'properties': 'always', 'exceptions': [], 'exceptionPatterns': []}], 'id-match': ['error', '^[a-z]+([A-Z][a-z]+)*$', {'properties': False, 'classFields': False, 'onlyDeclarations': False, 'ignoreDestructuring': False}]}",valid config part
6.2.1 Package names,"Package names are all `lowerCamelCase` . For example, `my.exampleCode.deepSpace` , but not `my.examplecode.deepspace` or `my.example_code.deep_space` .",{'camelcase': 'error'},Yes,"{'camelcase': ['error', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False}]}",valid config part
6.2.2 Class names,"Class, interface, record, and typedef names are written in `UpperCamelCase` . Unexported classes are simply locals: they are not marked `@private` and therefore are not named with a trailing underscore.
 Type names are typically nouns or noun phrases. For example, `Request` , `ImmutableList` , or `VisibilityMode` . Additionally, interface names may sometimes be adjectives or adjective phrases instead (for example, `Readable` ).",{'camelcase': 'error'},Yes,"{'new-cap': ['error', {'newIsCap': True, 'capIsNew': True}], 'camelcase': ['error', {'properties': 'always'}], 'no-underscore-dangle': ['error', {'allowAfterThis': False, 'allowAfterSuper': False, 'allowAfterThisConstructor': False, 'enforceInMethodNames': False, 'enforceInClassFields': False}]}",valid config part
